Id,Predicted
candidate11,0.11978021
candidate13,0.7249952
candidate15,0.01690559
candidate17,0.99683595
candidate22,0.8705091
candidate26,0.0024457125
candidate33,0.9782495
candidate40,0.96402985
candidate42,0.88177264
candidate49,0.0076604215
candidate56,0.050896216
candidate59,0.19107082
candidate60,0.32365617
candidate68,0.0114546465
candidate75,0.8936947
candidate76,0.12488681
candidate77,0.06610491
candidate79,0.20256358
candidate85,0.08799351
candidate99,0.01277582
candidate100,0.02296806
candidate103,0.0010693525
candidate107,0.98672104
candidate108,0.026865186
candidate112,0.9957833
candidate116,0.9689267
candidate117,0.0012270989
candidate118,0.0036398119
candidate128,0.80972564
candidate129,0.823861
candidate132,0.5288729
candidate137,0.23404741
candidate144,0.9665577
candidate146,0.004233871
candidate149,0.30310282
candidate165,0.99991274
candidate167,0.79250115
candidate170,0.5695987
candidate174,0.9997203
candidate178,0.19912498
candidate189,0.00018609529
candidate191,0.0011797717
candidate194,0.99791604
candidate195,0.8760014
candidate197,0.0008325302
candidate201,0.0384533
candidate204,0.56859875
candidate223,0.9894308
candidate239,0.13824634
candidate251,0.058738776
candidate252,0.00059916
candidate259,0.99876
candidate264,0.9957355
candidate268,0.037981205
candidate274,0.9999999
candidate275,0.06109096
candidate278,0.86424464
candidate284,0.99499243
candidate286,1.0
candidate290,0.8325688
candidate300,0.00027627088
candidate301,0.0095973695
candidate302,0.09972238
candidate309,0.60417306
candidate312,0.5168094
candidate329,0.13408887
candidate333,0.67016923
candidate344,0.59341455
candidate346,0.36013752
candidate348,0.99988854
candidate354,0.9999988
candidate357,0.9624962
candidate360,0.71247876
candidate363,0.0032476427
candidate368,1.0
candidate373,0.032097224
candidate384,0.996709
candidate390,0.1466365
candidate394,0.035826325
candidate396,0.5712489
candidate397,0.007577557
candidate398,0.9080287
candidate402,0.0030398257
candidate403,0.14883143
candidate412,0.75856894
candidate424,0.18590021
candidate427,0.0013782083
candidate431,0.07607041
candidate439,0.9997087
candidate440,0.14620106
candidate450,0.74131817
candidate451,0.00020759332
candidate455,0.9995832
candidate456,0.29511836
candidate458,0.958377
candidate459,0.000369005
candidate463,0.97643614
candidate466,0.9965328
candidate483,0.9983645
candidate486,0.09859649
candidate489,0.1441364
candidate491,0.6747765
candidate493,0.99999976
candidate498,0.97667867
candidate499,0.033479977
candidate502,0.047722887
candidate509,0.99999976
candidate513,0.9883717
candidate524,0.99972767
candidate530,0.99999845
candidate544,0.7855871
candidate556,0.099237666
candidate563,0.9986979
candidate564,0.8654025
candidate565,0.023840794
candidate580,0.9975637
candidate582,0.00196477
